"·ÖÊýµµ´Î","文科","Àí¿Æ",,,,"理科",,,,
"分数档次","名次","人数","累计","加分人数","加分后累计","名次","人数","累计","加分人数","加分后累计"
710," "," "," "," "," "," ",6,6,8,8
709," "," "," "," "," ",5,2,8,2,10
708," "," "," "," "," ",6,4,12,4,14
707," "," "," "," "," ",7,2,14,3,17
706," "," "," "," "," ",8,4,18,4,21
705," "," "," "," "," ",9,6,24,7,28
704," "," "," "," "," ",10,5,29,5,33
703," "," "," "," "," ",11,4,33,5,38
702," "," "," "," "," ",12,8,41,12,50
701," "," "," "," "," ",13,6,47,11,61
700," "," "," "," "," ",14,7,54,9,70
699," "," "," "," "," ",15,6,60,9,79
698," "," "," "," "," ",16,13,73,17,96
697," "," "," "," "," ",17,9,82,14,110
696," "," "," "," "," ",18,10,92,11,121
695," "," "," "," "," ",19,16,108,21,142
694," "," "," "," "," ",20,17,125,19,161
693," "," "," "," "," ",21,14,139,18,179
692," "," "," "," "," ",22,19,158,15,194
691," "," "," "," "," ",23,19,177,21,215
690," "," "," "," "," ",24,14,191,25,240
689," "," "," "," "," ",25,27,218,31,271
688," "," "," "," "," ",26,32,250,33,304
687," "," "," "," "," ",27,31,281,31,335
686," "," "," "," "," ",28,26,307,28,363
685," "," "," "," "," ",29,38,345,43,406
684," "," "," "," "," ",30,38,383,39,445
683," "," "," "," "," ",31,43,426,40,485
682," "," "," "," "," ",32,48,474,56,541
681," "," "," "," "," ",33,55,529,51,592
680," "," "," "," "," ",34,69,598,68,660
679," "," "," "," "," ",35,50,648,52,712
678," "," "," "," "," ",36,59,707,66,778
677," "," "," "," "," ",37,64,771,70,848
676," "," "," "," "," ",38,57,828,63,911
675," "," "," "," "," ",39,89,917,90,1001
674," "," "," "," "," ",40,69,986,72,1073
673," "," "," "," "," ",41,78,1064,88,1161
672," "," "," "," "," ",42,86,1150,85,1246
671," "," "," "," "," ",43,89,1239,103,1349
670," "," "," "," "," ",44,94,1333,94,1443
669," "," "," "," "," ",45,87,1420,89,1532
668," "," "," "," "," ",46,102,1522,115,1647
667," "," "," "," "," ",47,113,1635,114,1761
666," "," "," "," "," ",48,116,1751,119,1880
665," ",7,7,8,8,49,104,1855,109,1989
664,6,3,10,3,11,50,104,1959,119,2108
663,7,1,11,1,12,51,127,2086,127,2235
662,8,3,14,2,14,52,124,2210,137,2372
661,9,1,15,1,15,53,154,2364,158,2530
660,10,1,16,2,17,54,148,2512,153,2683
659,11,3,19,4,21,55,130,2642,145,2828
658,12,1,20,1,22,56,175,2817,174,3002
657,13,3,23,4,26,57,166,2983,180,3182
656,14,1,24,1,27,58,163,3146,184,3366
655,15,4,28,3,30,59,169,3315,175,3541
654,16,3,31,3,33,60,182,3497,183,3724
653,17,3,34,5,38,61,160,3657,166,3890
652,18,4,38,3,41,62,213,3870,212,4102
651,19,2,40,3,44,63,198,4068,207,4309
650,20,2,42,2,46,64,186,4254,200,4509
649,21,3,45,4,50,65,199,4453,199,4708
648,22,5,50,5,55,66,226,4679,236,4944
647,23,5,55,5,60,67,205,4884,209,5153
646,24,3,58,3,63,68,224,5108,225,5378
645,25,9,67,9,72,69,217,5325,232,5610
644,26,6,73,6,78,70,223,5548,245,5855
643,27,10,83,11,89,71,275,5823,288,6143
642,28,10,93,13,102,72,274,6097,283,6426
641,29,12,105,13,115,73,256,6353,249,6675
640,30,7,112,10,125,74,266,6619,263,6938
639,31,15,127,14,139,75,288,6907,294,7232
638,32,14,141,15,154,76,288,7195,293,7525
637,33,7,148,9,163,77,300,7495,310,7835
636,34,17,165,16,179,78,313,7808,337,8172
635,35,14,179,15,194,79,339,8147,342,8514
634,36,13,192,15,209,80,376,8523,385,8899
633,37,16,208,16,225,81,310,8833,306,9205
632,38,12,220,10,235,82,353,9186,363,9568
631,39,18,238,20,255,83,329,9515,343,9911
"·ÖÊýµµ´Î","ÎÄ¿Æ","Àí¿Æ",,,,,,,,
"Ãû´Î","ÈËÊý","ÀÛ¼Æ","¼ÓÓÅ·ÖÈËÊý","ÀÛ¼Æ","Ãû´Î","ÈËÊý","ÀÛ¼Æ","¼ÓÓÅ»Ý·ÖÈËÊý","ÀÛ¼Æ",
630,40,21,259,22,277,84,329,9844,352,10263
629,41,24,283,25,302,85,359,10203,383,10646
628,42,28,311,28,330,86,351,10554,363,11009
627,43,18,329,21,351,87,357,10911,375,11384
626,44,26,355,27,378,88,429,11340,445,11829
625,45,23,378,27,405,89,374,11714,385,12214
624,46,28,406,28,433,90,408,12122,398,12612
623,47,32,438,33,466,91,392,12514,421,13033
622,48,22,460,26,492,92,392,12906,423,13456
621,49,30,490,35,527,93,424,13330,421,13877
620,50,39,529,43,570,94,430,13760,453,14330
619,51,36,565,41,611,95,455,14215,474,14804
618,52,41,606,43,654,96,428,14643,435,15239
617,53,46,652,49,703,97,479,15122,489,15728
616,54,51,703,53,756,98,476,15598,476,16204
615,55,34,737,32,788,99,505,16103,514,16718
614,56,54,791,62,850,100,493,16596,524,17242
613,57,60,851,64,914,101,504,17100,522,17764
612,58,62,913,64,978,102,541,17641,544,18308
611,59,49,962,53,1031,103,524,18165,557,18865
610,60,62,1024,67,1098,104,520,18685,529,19394
609,61,72,1096,75,1173,105,511,19196,513,19907
608,62,59,1155,63,1236,106,516,19712,543,20450
607,63,86,1241,81,1317,107,571,20283,592,21042
606,64,73,1314,76,1393,108,566,20849,567,21609
605,65,66,1380,68,1461,109,574,21423,581,22190
604,66,86,1466,85,1546,110,593,22016,591,22781
603,67,90,1556,89,1635,111,576,22592,590,23371
602,68,78,1634,85,1720,112,616,23208,608,23979
601,69,99,1733,106,1826,113,599,23807,624,24603
600,70,109,1842,105,1931,114,605,24412,619,25222
599,71,110,1952,110,2041,115,566,24978,579,25801
598,72,87,2039,88,2129,116,663,25641,648,26449
597,73,104,2143,110,2239,117,637,26278,631,27080
596,74,124,2267,132,2371,118,608,26886,601,27681
595,75,109,2376,120,2491,119,662,27548,646,28327
594,76,148,2524,153,2644,120,655,28203,668,28995
593,77,114,2638,120,2764,121,614,28817,623,29618
592,78,131,2769,146,2910,122,595,29412,605,30223
591,79,140,2909,146,3056,123,707,30119,702,30925
590,80,134,3043,147,3203,124,675,30794,692,31617
589,81,133,3176,146,3349,125,677,31471,677,32294
588,82,140,3316,160,3509,126,664,32135,693,32987
587,83,180,3496,180,3689,127,711,32846,717,33704
586,84,152,3648,158,3847,128,699,33545,740,34444
585,85,165,3813,163,4010,129,665,34210,709,35153
584,86,190,4003,197,4207,130,688,34898,677,35830
583,87,162,4165,180,4387,131,709,35607,715,36545
582,88,200,4365,195,4582,132,726,36333,756,37301
581,89,182,4547,207,4789,133,715,37048,739,38040
580,90,195,4742,201,4990,134,719,37767,733,38773
579,91,188,4930,199,5189,135,734,38501,740,39513
578,92,222,5152,223,5412,136,742,39243,744,40257
577,93,212,5364,228,5640,137,755,39998,742,40999
576,94,229,5593,232,5872,138,734,40732,735,41734
575,95,207,5800,233,6105,139,838,41570,820,42554
574,96,242,6042,243,6348,140,785,42355,804,43358
573,97,250,6292,264,6612,141,759,43114,782,44140
572,98,243,6535,266,6878,142,769,43883,779,44919
571,99,275,6810,266,7144,143,802,44685,792,45711
570,100,286,7096,305,7449,144,822,45507,815,46526
569,101,290,7386,302,7751,145,765,46272,768,47294
568,102,313,7699,319,8070,146,800,47072,795,48089
567,103,272,7971,286,8356,147,803,47875,822,48911
566,104,277,8248,286,8642,148,759,48634,779,49690
565,105,293,8541,284,8926,149,804,49438,807,50497
564,106,308,8849,334,9260,150,790,50228,799,51296
563,107,334,9183,338,9598,151,906,51134,899,52195
562,108,310,9493,308,9906,152,793,51927,783,52978
561,109,312,9805,324,10230,153,824,52751,816,53794
560,110,333,10138,338,10568,154,769,53520,768,54562
559,111,341,10479,342,10910,155,775,54295,802,55364
558,112,332,10811,342,11252,156,891,55186,895,56259
557,113,338,11149,336,11588,157,756,55942,770,57029
556,114,350,11499,353,11941,158,836,56778,834,57863
555,115,338,11837,354,12295,159,805,57583,814,58677
554,116,399,12236,409,12704,160,779,58362,799,59476
553,117,355,12591,366,13070,161,810,59172,827,60303
552,118,355,12946,354,13424,162,799,59971,815,61118
551,119,350,13296,356,13780,163,804,60775,789,61907
550,120,394,13690,402,14182,164,760,61535,762,62669
549,121,428,14118,414,14596,165,888,62423,864,63533
548,122,365,14483,363,14959,166,788,63211,788,64321
547,123,416,14899,425,15384,167,840,64051,825,65146
546,124,417,15316,419,15803,168,795,64846,780,65926
545,125,433,15749,425,16228,169,804,65650,811,66737
544,126,418,16167,435,16663,170,846,66496,843,67580
543,127,392,16559,385,17048,171,786,67282,762,68342
542,128,402,16961,420,17468,172,783,68065,802,69144
541,129,394,17355,395,17863,173,766,68831,772,69916
540,130,413,17768,409,18272,174,763,69594,781,70697
539,131,395,18163,406,18678,175,814,70408,820,71517
538,132,426,18589,439,19117,176,811,71219,804,72321
537,133,425,19014,426,19543,177,835,72054,843,73164
536,134,417,19431,421,19964,178,745,72799,763,73927
535,135,416,19847,414,20378,179,783,73582,750,74677
534,136,439,20286,430,20808,180,758,74340,742,75419
533,137,433,20719,433,21241,181,763,75103,759,76178
532,138,437,21156,441,21682,182,797,75900,772,76950
531,139,415,21571,415,22097,183,738,76638,730,77680
530,140,440,22011,447,22544,184,773,77411,770,78450
529,141,401,22412,389,22933,185,745,78156,780,79230
528,142,452,22864,466,23399,186,729,78885,759,79989
527,143,441,23305,428,23827,187,798,79683,815,80804
526,144,447,23752,448,24275,188,753,80436,751,81555
525,145,421,24173,429,24704,189,748,81184,752,82307
524,146,443,24616,443,25147,190,738,81922,708,83015
523,147,446,25062,441,25588,191,776,82698,775,83790
522,148,449,25511,453,26041,192,719,83417,718,84508
521,149,434,25945,441,26482,193,722,84139,709,85217
520,150,460,26405,459,26941,194,726,84865,724,85941
519,151,434,26839,453,27394,195,757,85622,731,86672
518,152,432,27271,414,27808,196,767,86389,734,87406
517,153,375,27646,371,28179,197,762,87151,729,88135
516,154,454,28100,433,28612,198,720,87871,708,88843
515,155,428,28528,412,29024,199,703,88574,697,89540
514,156,431,28959,412,29436,200,653,89227,648,90188
513,157,455,29414,474,29910,201,660,89887,669,90857
512,158,405,29819,403,30313,202,695,90582,688,91545
511,159,411,30230,408,30721,203,678,91260,682,92227
510,160,418,30648,424,31145,204,717,91977,713,92940
509,161,438,31086,436,31581,205,680,92657,673,93613
508,162,424,31510,432,32013,206,693,93350,671,94284
507,163,468,31978,478,32491,207,684,94034,685,94969
506,164,405,32383,420,32911,208,639,94673,650,95619
505,165,412,32795,413,33324,209,698,95371,697,96316
504,166,445,33240,463,33787,210,646,96017,667,96983
503,167,446,33686,426,34213,211,703,96720,698,97681
502,168,423,34109,431,34644,212,707,97427,711,98392
501,169,398,34507,408,35052,213,611,98038,598,98990
500,170,418,34925,421,35473,214,640,98678,633,99623
499,171,458,35383,456,35929,215,680,99358,651,100274
498,172,425,35808,421,36350,216,602,99960,624,100898
497,173,432,36240,437,36787,217,663,100623,654,101552
496,174,438,36678,435,37222,218,658,101281,647,102199
495,175,368,37046,371,37593,219,634,101915,625,102824
494,176,431,37477,428,38021,220,643,102558,628,103452
493,177,428,37905,431,38452,221,653,103211,630,104082
492,178,439,38344,437,38889,222,611,103822,584,104666
491,179,399,38743,389,39278,223,642,104464,625,105291
490,180,429,39172,435,39713,224,667,105131,666,105957
489,181,413,39585,414,40127,225,587,105718,595,106552
488,182,456,40041,458,40585,226,653,106371,651,107203
487,183,451,40492,433,41018,227,536,106907,536,107739
486,184,442,40934,441,41459,228,599,107506,594,108333
485,185,421,41355,418,41877,229,580,108086,584,108917
484,186,390,41745,388,42265,230,612,108698,598,109515
483,187,407,42152,400,42665,231,613,109311,612,110127
482,188,430,42582,430,43095,232,597,109908,620,110747
481,189,404,42986,410,43505,233,535,110443,556,111303
480,190,406,43392,395,43900,234,589,111032,570,111873
